name	clone	wellnr
060304MAPK controls.A01	mock	1
060304MAPK controls.A02	mock	2
060304MAPK controls.A03	mock	3
060304MAPK controls.A04	mock	4
060304MAPK controls.A05	mock	5
060304MAPK controls.A06	mock	6
060304MAPK controls.A07	mock	7
060304MAPK controls.A08	mock	8
060304MAPK controls.A09	mock	9
060304MAPK controls.A10	mock	10
060304MAPK controls.A11	mock	11
060304MAPK controls.A12	mock	12
060304MAPK controls.B01	YFP	13
060304MAPK controls.B02	YFP	14
060304MAPK controls.B03	YFP	15
060304MAPK controls.B04	YFP	16
060304MAPK controls.B05	YFP	17
060304MAPK controls.B06	YFP	18
060304MAPK controls.B07	YFP	19
060304MAPK controls.B08	YFP	20
060304MAPK controls.B09	YFP	21
060304MAPK controls.B10	YFP	22
060304MAPK controls.B11	YFP	23
060304MAPK controls.B12	YFP	24
060304MAPK controls.C01	DSPP	25
060304MAPK controls.C02	DSPP	26
060304MAPK controls.C03	DSPP	27
060304MAPK controls.C04	DSPP	28
060304MAPK controls.C05	DSPP	29
060304MAPK controls.C06	DSPP	30
060304MAPK controls.C07	DSPP	31
060304MAPK controls.C08	DSPP	32
060304MAPK controls.C09	DSPP	33
060304MAPK controls.C10	DSPP	34
060304MAPK controls.C11	DSPP	35
060304MAPK controls.C12	DSPP	36
060304MAPK controls.D01	ERK	37
060304MAPK controls.D02	ERK	38
060304MAPK controls.D03	ERK	39
060304MAPK controls.D04	ERK	40
060304MAPK controls.D05	ERK	41
060304MAPK controls.D06	ERK	42
060304MAPK controls.D07	ERK	43
060304MAPK controls.D08	ERK	44
060304MAPK controls.D09	ERK	45
060304MAPK controls.D10	ERK	46
060304MAPK controls.D11	ERK	47
060304MAPK controls.D12	ERK	48
060304MAPK controls.E01	MEK	49
060304MAPK controls.E02	MEK	50
060304MAPK controls.E03	MEK	51
060304MAPK controls.E04	MEK	52
060304MAPK controls.E05	MEK	53
060304MAPK controls.E06	MEK	54
060304MAPK controls.E07	MEK	55
060304MAPK controls.E08	MEK	56
060304MAPK controls.E09	MEK	57
060304MAPK controls.E10	MEK	58
060304MAPK controls.E11	MEK	59
060304MAPK controls.E12	MEK	60
060304MAPK controls.F01	RASUP	61
060304MAPK controls.F02	RASUP	62
060304MAPK controls.F03	RASUP	63
060304MAPK controls.F04	RASUP	64
060304MAPK controls.F05	RASUP	65
060304MAPK controls.F06	RASUP	66
060304MAPK controls.F07	RASUP	67
060304MAPK controls.F08	RASUP	68
060304MAPK controls.F09	RASUP	69
060304MAPK controls.F10	RASUP	70
060304MAPK controls.F11	RASUP	71
060304MAPK controls.F12	RASUP	72
060304MAPK controls.G01	GRB	73
060304MAPK controls.G02	GRB	74
060304MAPK controls.G03	GRB	75
060304MAPK controls.G04	GRB	76
060304MAPK controls.G05	GRB	77
060304MAPK controls.G06	GRB	78
060304MAPK controls.G07	GRB	79
060304MAPK controls.G08	GRB	80
060304MAPK controls.G09	GRB	81
060304MAPK controls.G10	GRB	82
060304MAPK controls.G11	GRB	83
060304MAPK controls.G12	GRB	84
060304MAPK controls.H01	RGDI	85
060304MAPK controls.H02	RGDI	86
060304MAPK controls.H03	RGDI	87
060304MAPK controls.H04	RGDI	88
060304MAPK controls.H05	RGDI	89
060304MAPK controls.H06	RGDI	90
060304MAPK controls.H07	RGDI	91
060304MAPK controls.H08	RGDI	92
060304MAPK controls.H09	RGDI	93
060304MAPK controls.H10	RGDI	94
060304MAPK controls.H11	RGDI	95
060304MAPK controls.H12	RGDI	96
